userId,productId,rating
A4WEZJOIZIV4U,6642838d8d673868671b72d1,5
A3BKNXX8QFIXIV,6642838d8d673868671b72d1,5
ASB4QQBKZD6W2,6642838d8d673868671b72d1,3
A3QRW0UJPKIAX7,6642838d8d673868671b72d1,5
AIBRTGBN07D6A,6642838d8d673868671b72d1,4
A9BM9DY6EW9NO,6642838d8d673868671b72d1,5
A2M1MNG7G40V85,6642838d8d673868671b72d1,5
A3R33KMESG0XGQ,6642838d8d673868671b72d1,3
ASY25YMTIC2A9,6642838d8d673868671b72d1,4
A2R1HUYHXV7H18,6642838d8d673868671b72d1,4
A33PVCHCQ2BTN0,6642838d8d673868671b72d1,5
A3I0I0YHZB013F,6642838d8d673868671b72d1,4
A3V6Z4RCDGRC44,6642838d8d673868671b72d1,2
ASGN5WD3DI451,6642838d8d673868671b72d1,5
A2HIFEA5O00M69,6642838d8d673868671b72d1,3
ACZ4YI6UWRVOG,6642838d8d673868671b72d1,5
A30J7WQV0ZNRXG,6642838d8d673868671b72d1,5
AA1H57BMNYYSN,6642838d8d673868671b72d1,1
A3S0DBBR693O06,6642838d8d673868671b72d1,5
A22S7D0LP8GRDH,6642838d8d673868671b72d1,5
A2UKE7GIVC7XFW,6642838d8d673868671b72d1,5
A2FRKEXDXDN1KI,6642838d8d673868671b72d1,5
A2JP9E1H0SF392,6642838d8d673868671b72d1,4
A3BNMHRW2R35LK,6642838d8d673868671b72d1,5
ANEXFROORI6F6,6642838d8d673868671b72d1,5
A27ADCSD15F3GL,6642838d8d673868671b72d1,3
A2IFKH3TJ10387,6642838d8d673868671b72d1,4
A3SMD3T0QTN109,6642838d8d673868671b72d1,4
A3284KYDZ00BZA,6642838d8d673868671b72d1,5
AHNHLGKIZ2N3B,6642838d8d673868671b72d1,4
ATZJNEXX7LWD3,6642838d8d673868671b72d1,2
A2L4ZGN7GZJ95T,6642838d8d673868671b72d1,5
A1GW7V6S6XSXX3,6642838d8d673868671b72d1,3
A3NXJDNTQK2YJL,6642838d8d673868671b72d1,4
A20951I210L0IB,6642838d8d673868671b72d1,3
A2YEOR4XJ8N3QE,6642838d8d673868671b72d1,4
A1DB5QPH7WO488,6642838d8d673868671b72d1,5
